Job,Softskills,Hardskills,Course_Name,Course_Description,Course_Hard_Skills,Course_Soft_Skills,label
Mortgage Advisor,"Communication skills, active listening, problem-solving, attention to detail, time management, customer service, adaptability, emotional intelligence","Good communication and listening skills, The ability to explain complex information clearly and simply, Excellent customer service skills, Honest and trustworthy attitude, An interest in legal and financial matters, Good mathematical and computer skills.",Investments and portfolio analysis,introduces students to the fundamental principles of investments and to major issues currently of concern to all investors. The concepts and skills developed from this course enable students to conduct a sophisticated assessment of current issues and debates covered by both the popular media as well as more-specialized finance journals,"Familiarity with fundamental principles of investment, ability to conduct sophisticated assessments of current issues and debates, analytical and critical thinking skills.","Sophisticated assessment of current issues and debates, critical thinking, and analytical skills.",1.0
Mortgage Advisor,"Communication skills, active listening, problem-solving, attention to detail, time management, customer service, adaptability, emotional intelligence","Good communication and listening skills, The ability to explain complex information clearly and simply, Excellent customer service skills, Honest and trustworthy attitude, An interest in legal and financial matters, Good mathematical and computer skills.",Impact lab,"an opportunity to work directly for social ventures under the guidance of a faculty instructor and professional mentors. You should have opportunities to manage tasks, solve real-life problems, and gain hands-on business experience, which will strengthen your soft skills, help you implement academic business concepts in a practical way, and greatly improve your ability to compete in the job market.","ability to manage tasks and solve real-life problems, gain hands-on business experience, implementation of academic business concepts in a practical way, competitiveness in the job market.","working directly for social ventures under guidance, ability to manage tasks, problem-solving skills, hands-on business experience, improvement of soft skills.",1.0
Mortgage Advisor,"Communication skills, active listening, problem-solving, attention to detail, time management, customer service, adaptability, emotional intelligence","Good communication and listening skills, The ability to explain complex information clearly and simply, Excellent customer service skills, Honest and trustworthy attitude, An interest in legal and financial matters, Good mathematical and computer skills.",Senior seminar in economics and finance,"applies core theoretical knowledge in economics and finance acquired throughout the undergraduate curriculum to research a real issue. The student may select and match core theoretical concepts with significant applications in the world, which could be of local, regional and global relevance, both contemporary and historical. The selection will include an application of these concepts to either the making of public policy or the strategic management of the firm.","research skills, theoretical knowledge in economics and finance, critical thinking, problem solving, strategic analysis.",,1.0
Mortgage Advisor,"Communication skills, active listening, problem-solving, attention to detail, time management, customer service, adaptability, emotional intelligence","Good communication and listening skills, The ability to explain complex information clearly and simply, Excellent customer service skills, Honest and trustworthy attitude, An interest in legal and financial matters, Good mathematical and computer skills.",Behavioural and sociological finance,"covers current developments in finance. Possible topics include security trading and market making, venture analysis, financial contracting, investment strategies for local markets and other current issues in finance.","Understanding current developments in finance, knowledge of security trading and market making, understanding venture analysis and financial contracting, knowledge of investment strategies for local markets, ability to analyze and discuss current issues in finance.",,1.0
Mortgage Advisor,"Communication skills, active listening, problem-solving, attention to detail, time management, customer service, adaptability, emotional intelligence","Good communication and listening skills, The ability to explain complex information clearly and simply, Excellent customer service skills, Honest and trustworthy attitude, An interest in legal and financial matters, Good mathematical and computer skills.",Theory of international trade,"deals with economic issues which are related to many countries. It provides students with global perspectives on economic and business decisions. Topics include why countries trade, how they trade, who benefits and who loses from trade, and what are the best trade policies. We also discuss recent globalization issues in this class.","knowledge of economic theory and analytical skills in studying economic and business decisions, ability to analyze trade policies and understand global perspectives on economic issues.",,1.0
Mortgage Advisor,"Communication skills, active listening, problem-solving, attention to detail, time management, customer service, adaptability, emotional intelligence","Good communication and listening skills, The ability to explain complex information clearly and simply, Excellent customer service skills, Honest and trustworthy attitude, An interest in legal and financial matters, Good mathematical and computer skills.",Introduction to business analytics,"covers both technical and managerial aspects to provide a basic understanding of business analytics and show how it can be used by businesses to analyze their competitive posture more effectively, know their customers better and make better managerial and strategic decisions.","technical aspects, managerial aspects, basic understanding of business analytics, analyzing competitive posture, knowing customers, making better managerial and strategic decisions.",,1.0
Mortgage Advisor,"Communication skills, active listening, problem-solving, attention to detail, time management, customer service, adaptability, emotional intelligence","Good communication and listening skills, The ability to explain complex information clearly and simply, Excellent customer service skills, Honest and trustworthy attitude, An interest in legal and financial matters, Good mathematical and computer skills.",Reading course,"consists of supervised reading and written work. Candidates may specialize in one topic under the supervision of faculty members. Examples of topics are: the problem of social cost, investment in human capital, general equilibrium theory, empirical methods in international trade, international monetary relations, theories of saving and the East Asian economies, and current economic problems of Hong Kong","independent research, specialized knowledge in a particular topic, writing skills.",,1.0
Mortgage Advisor,"Communication skills, active listening, problem-solving, attention to detail, time management, customer service, adaptability, emotional intelligence","Good communication and listening skills, The ability to explain complex information clearly and simply, Excellent customer service skills, Honest and trustworthy attitude, An interest in legal and financial matters, Good mathematical and computer skills.",Selections and training,"focus on the basic concepts of selections and recruitment, training and development of different employees, and human resources utility analysis. In particular, students will be exposed to different recruiting processes and the whole spectrum of training and development techniques, and how they can add value to business success","understanding of basic concepts of selections and recruitment, knowledge of processes involved in employee training and development, expertise in human resources utility analysis.",,1.0
Mortgage Advisor,"Communication skills, active listening, problem-solving, attention to detail, time management, customer service, adaptability, emotional intelligence","Good communication and listening skills, The ability to explain complex information clearly and simply, Excellent customer service skills, Honest and trustworthy attitude, An interest in legal and financial matters, Good mathematical and computer skills.",Field experience in China’s business environment,"Students will spend two weeks in Shanghai, attending classes and guest lectures as well as visiting representative companies in important industries and sectors there. The course will focus in the practical aspects of China business environment covering both manufacturing and servicing sectors. By going through topics/issues of recent concern, obtaining strategic insights via firm visits and attend sharing by senior management people, students are expected to acquire in-depth knowhow of learnt topics","knowledge of the practical aspects of China business environment, understanding of important industries and sectors in Shanghai, ability to analyze topics/issues of recent concern, strategic thinking via firm visits, acquisition of in-depth knowledge of learned topics.",,1.0
Mortgage Advisor,"Communication skills, active listening, problem-solving, attention to detail, time management, customer service, adaptability, emotional intelligence","Good communication and listening skills, The ability to explain complex information clearly and simply, Excellent customer service skills, Honest and trustworthy attitude, An interest in legal and financial matters, Good mathematical and computer skills.",Advertising management,"cover the theories, applications, and issues related to advertising management. Attention will be paid to the process of advertising management, creative and message strategies, traditional and digital creative tools, media planning and analysis, and evaluation of advertising effectiveness.","knowledge of advertising management theories, applications, and issues; understanding of the process of advertising management; ability to develop creative and message strategies; knowledge of traditional and digital creative tools; ability to plan and analyze media; ability to evaluate advertising effectiveness.",,1.0
