,Unnamed: 0,Course_Name,Course_Description,Course_Soft_Skills,Course_Hard_Skills
0,0,Introduction to financial accounting,"cover the principles of double entry book-keeping, the interpretation of financial statements, the issues raised by corporate regulation, and the use of management information for decision making",,"principles of double entry book-keeping, interpretation of financial statements, issues raised by corporate regulation, and use of management information for decision making."
1,1,Professional preparation programme,"prepare students for a career in professional accounting, this optional semester-long course provides seminars/workshops on career opportunities, professional ethics, and develop interpersonal, communication and time-management skills, as well as social events offering opportunities to interact with accounting and business professionals","Developing interpersonal, communication and time-management skills. ",
2,2,Introductory microeconomics,"ntroduction to the basic concepts and principles of microeconomics – the study of demand and supply, consumer theory, cost and production, market structure, incentives, and resource allocation efficiency, political economy, and ethics and public policy",Developing ethics and public policy. ,"Studying demand and supply, consumer theory, cost, production, market structure, incentives, and resource allocation efficiency in microeconomics. "
3,3,Introductory macroeconomics,first introduce students to the measurement of major macroeconomic variables and the main issues in macroeconomics. It will then introduce students to models that study the trend of the economy in the long run and the cyclical ups and downs of the economy in the short run. Empirical evidence and the effects of fiscal and monetary policies will be discussed along the way,,"Measuring macroeconomic variables, studying the trend of the economy in the long and short run, and discussing effects of fiscal and monetary policies in macroeconomics. "
4,4,Analysis of economic data,"This course studies the measurement and interpretation of economic variables, and how to model their relationships using appropriate empirical methods. Topics include interpretation of headline statistics, describing economic aggregates, modeling of economic relationships and drawing conclusions from observations",,"Studying measurement and interpretation of economic variables, modeling their relationships using empirical methods, interpreting headline statistics, describing economic aggregates, modeling economic relationships, and drawing conclusions from observations. "
5,5,Corporate finance,"s an introductory finance course that develops the basic concepts and tools applicable to corporate financial decisions. Two main tasks of financial managers are studied: project evaluation and financing decisions. Specific topics include present value calculation, valuation of stocks and bonds, investment criteria and capital budgeting, risk and return, cost of capital, and capital structure. Corporate ethics is also incorporated in the discussions",Incorporating corporate ethics in financial decision making. ,"Developing basic concepts and tools applicable to corporate financial decisions, project evaluation, financing decisions, present value calculation, valuation of stocks and bonds, investment criteria, capital budgeting, risk and return, cost of capital, and capital structure in finance. "
6,6,Principles of management,"traces the evolution of the study and practice of management over this past century, with particular focus on the landmark discoveries and lessons learned. The course aims to develop students’ awareness of the nature of management processes and focuses on the following topics: planning, organising, controlling, leading, communication and change management","Developing awareness of management processes, planning, organizing, controlling, leading, communication, and change management. ",
7,7,Introduction to marketing,"focuses on introducing core principles of marketing and covering key marketing concepts and processes such as managing customer relationships, marketing planning, understanding customers, competitors and marketplace, and developing marketing strategies (segmentation, innovation, and positioning) and marketing programs (products/services/branding, pricing, channel, and marketing communications)",Managing customer relationships. ,"Understanding customers, competitors, and marketplace, and developing marketing strategies and programs in marketing. "
8,8,Intermediate financial accounting I,It reviews the fundamental financial accounting concepts and focuses on the detailed recording and reporting of important items relating to the asset side of the balance sheet. It also examines the conceptual framework of accounting and financial statement presentation.,,"Reviewing financial accounting concepts, recording important items relating to the asset side of the balance sheet, and examining the conceptual framework of accounting and financial statement presentation. "
9,9,Introduction to management accounting,"The theory and techniques involved in serving the accounting needs of management in decision making, control, evaluation and motivational aspects",,"Serving the accounting needs of management, decision making, control, evaluation, and motivational aspects in accounting. "
